"Carimbo de data/hora","Qual o seu género? ","Idade (em anos)","Qual o principal motivo pelo qual vai às  compras?","Com que frequência compra roupa? ","Que tipo de roupa compra com mais frequência? ","De que forma costuma obter os seus produtos? ","Qual o padrão de roupa favorito? ","Quanto dinheiro gastou, em média, em roupas nos últimos 3 meses? "
"2019/11/22 3:07:04 da tarde GMT","Feminino","25","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:07:08 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/22 3:10:29 da tarde GMT","Feminino","23","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:10:45 da tarde GMT","Feminino","23","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:15:06 da tarde GMT","Masculino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:15:36 da tarde GMT","Masculino","46","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/22 3:15:39 da tarde GMT","Feminino","22","Necessidade","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:16:10 da tarde GMT","Feminino","25","Comprar presente","Várias vezes por ano","Calças, calções,saias","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:16:29 da tarde GMT","Masculino","22","Substituir roupas quentes/frias","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:16:33 da tarde GMT","Feminino","23","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:20:32 da tarde GMT","Masculino","22","Comprar presente","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:21:06 da tarde GMT","Masculino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:21:32 da tarde GMT","Feminino","20","Ver tudo e mais alguma coisa para depois comprar","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:21:59 da tarde GMT","Feminino","21","Momento de descontração","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:22:02 da tarde GMT","Feminino","20","Momento de descontração","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:22:34 da tarde GMT","Masculino","21","Falta-me uma  peça específica","Várias vezes por ano","Roupa interior","Loja fisica","Sem padrão","26-50"
"2019/11/22 3:22:34 da tarde GMT","Masculino","20","Comprar presente","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Riscas","26-50"
"2019/11/22 3:23:15 da tarde GMT","Feminino","20","Comprar presente","Raramente","Calçado","Loja fisica","Sem padrão","0-25"
"2019/11/22 3:24:35 da tarde GMT","Masculino","25","Para ter um maior leque de escolhas","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:24:38 da tarde GMT","Feminino","20","Momento de descontração","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","251-500"
"2019/11/22 3:25:06 da tarde GMT","Masculino","22","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:27:50 da tarde GMT","Masculino","20","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:33:57 da tarde GMT","Masculino","29","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:36:46 da tarde GMT","Masculino","30","Para ter um maior leque de escolhas","Várias vezes por ano","Calças, calções,saias","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:37:45 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:37:47 da tarde GMT","Feminino","22","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","0-25"
"2019/11/22 3:38:23 da tarde GMT","Feminino","20"," Porque necessito de algo que não tenho","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 3:40:08 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por mês","Calças, calções,saias","Loja fisica","Bolas","251-500"
"2019/11/22 3:40:52 da tarde GMT","Feminino","25","Substituir roupas quentes/frias","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:42:09 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Riscas","51-100"
"2019/11/22 3:42:11 da tarde GMT","Masculino","23","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 3:46:53 da tarde GMT","Masculino","24","Para ter um maior leque de escolhas","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Riscas","101-250"
"2019/11/22 3:47:37 da tarde GMT","Feminino","22","Comprar presente","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/22 3:50:24 da tarde GMT","Masculino","22","Comprar presente","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Riscas","251-500"
"2019/11/22 4:04:43 da tarde GMT","Feminino","20","Substituir roupas quentes/frias","Várias vezes por ano","Roupa interior","Loja fisica","Sem padrão","26-50"
"2019/11/22 4:05:08 da tarde GMT","Feminino","22","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 4:12:30 da tarde GMT","Masculino","19","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 4:13:05 da tarde GMT","Feminino","20","Momento de descontração","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 4:23:30 da tarde GMT","Masculino","23","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Riscas","26-50"
"2019/11/22 4:24:08 da tarde GMT","Masculino","22","Substituir roupas quentes/frias","Várias vezes por ano","Calçado","Loja fisica","Sem padrão","26-50"
"2019/11/22 4:29:42 da tarde GMT","Masculino","20","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 4:46:05 da tarde GMT","Feminino","25","Momento de descontração","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","251-500"
"2019/11/22 4:56:57 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 5:02:49 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 5:20:50 da tarde GMT","Feminino","20","Substituir roupas quentes/frias","Várias vezes por ano","Roupa interior","Loja fisica","Sem padrão","101-250"
"2019/11/22 5:46:48 da tarde GMT","Feminino","26","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja Online","Sem padrão","101-250"
"2019/11/22 5:58:03 da tarde GMT","Masculino","20 ","Momento de descontração","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 6:02:42 da tarde GMT","Feminino","22","Comprar presente","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja Online","Sem padrão","51-100"
"2019/11/22 6:46:03 da tarde GMT","Feminino","25","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/22 6:54:15 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 7:12:16 da tarde GMT","Feminino","20","Para ter um maior leque de escolhas","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 8:16:43 da tarde GMT","Feminino","22","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja Online","Sem padrão","0-25"
"2019/11/22 8:35:08 da tarde GMT","Masculino","28","Comprar presente","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
